Display Name,Card Code
[DZTBP01] バンドリ！ ガールズバンドパーティ！,DZTBP01
[DZTB02] 刀剣乱舞ONLINE 2025,DZTB02
[DZTB01] フューチャーカード バディファイト,DZTB01
[DZSS11] フェスティバルブースター2025,DZSS11
[DZSS04] 運命のデカ杉ベベベベブラックでんぢゃらすコロコロスタートデッキパック,DZSS04
[DZSS01] フェスティバルブースター2024,DZSS01
[DSS11] トリプルドライブブースター,DSS11
[DTB07] 刀剣乱舞ONLINE 2023,DTB07
[DPV01] ヒストリーコレクション,DPV01
[DSS05] フェスティバルブースター2023,DSS05
[DTB06] モンスターストライクVol.2,DTB06
[DVS06] Vクランコレクション Vol.6,DVS06
[DVS05] Vクランコレクション Vol.5,DVS05
[DSS02] フェスティバルコレクション2022,DSS02
[DPS01] Pクランコレクション2022,DPS01
[DTB05] 終末のワルキューレ,DTB05
[DTB04] SHAMAN KING Vol.2,DTB04
[DVS04] Vクランコレクション Vol.4,DVS04
[DVS03] Vクランコレクション Vol.3,DVS03
[DTB03] SHAMAN KING Vol.1,DTB03
[DVS02] Vクランコレクション Vol.2,DVS02
[DVS01] Vクランコレクション Vol.1,DVS01
[DTB02] モンスターストライク,DTB02
[DTB01] 刀剣乱舞-ONLINE- 2021,DTB01
[DSS01] フェスティバルコレクション2021,DSS01
[VSS10] クランセレクションプラス Vol.2,VSS10
[VSS09] クランセレクションプラス Vol.1,VSS09
[VEB15] Twinkle Melody,VEB15
[VSS08] DAIGO スペシャルエキスパンションセットV,VSS08
[VTB01] BanG Dream! FILM LIVE,VTB01
[VSS07] プレミアムコレクション2020,VSS07
[VSS05] フェスティバルコレクション,VSS05
[VEB14] The Next Stage,VEB14
[VEB13] The Astral Force,VEB13
[VEB12] Team 竜牙独尊！,VEB12
[VEB11] Crystal Melody,VEB11
[VEB10] The Mysterious Fortune,VEB10
[VEB09] The Raging Tactics,VEB09
[VEB08] My Glorious Justice,VEB08
[VSS01] プレミアムコレクション2019,VSS01
[VEB07] The Heroic Evolution,VEB07
[VEB06] 救世の光 破滅の理,VEB06
[VEB05] Primary Melody,VEB05
[VEB04] The Answer of Truth,VEB04
[VEB03] ULTRARARE MIRACLE COLLECTION,VEB03
[VMB01] 相剋のPSYクオリア,VMB01
[VEB02] アジアサーキットの覇者,VEB02
[VEB01] The Destructive Roar,VEB01
[GEB03] The GALAXY STAR GATE,GEB03
[GEB02] The AWAKENING ZOO,GEB02
[GEB01] 宇宙の咆哮,GEB01
[GCB07] 歌姫の祝祭,GCB07
[GCB06] 混沌と救世の輪舞曲,GCB06
[GCB05] 七色の歌姫,GCB05
[GCB04] 運命の歯車,GCB04
[GCB03] 祝福の歌姫,GCB03
[GCB02] 連波の指揮官,GCB02
[GCB01] 歌姫の学園,GCB01
[CHB03] 月夜のラミーラビリンス,CHB03
[CHB02] 俺達!!!トリニティドラゴン,CHB02
[CHB01] トライスリーNEXT,CHB01
[TCB02] The GENIUS STRATEGY,TCB02
[TCB01] The RECKLESS RAMPAGE,TCB01
[GTB02] 刀剣乱舞-ONLINE- 弐,GTB02
[GTB01] 刀剣乱舞-ONLINE-,GTB01
[GCM01] 先導者と根絶者,GCM01
[EB12] 女神の円舞曲,EB12
[EB11] 宵闇の鎮魂歌,EB11
[EB10] 歌姫の二重奏,EB10
[EB09] 創世の竜神,EB09
[EB08] 銀河の闘士,EB08
[EB07] 神秘の預言者,EB07
[EB06] 綺羅の歌姫,EB06
[EB05] 神託の戦乙女,EB05
[EB04] 無幻の兵団,EB04
[EB03] 黒鋼の戦騎,EB03
[EB02] 歌姫の饗宴,EB02
[EB01] コミックスタイル vol.1,EB01
[GFC04] ファイターズコレクション2017,GFC04
[GFC03] ファイターズコレクション2016,GFC03
[GFC02] ファイターズコレクション2015 Winter,GFC02
[GFC01] ファイターズコレクション2015,GFC01
[FC02] ファイターズコレクション2014,FC02
[FC01] ファイターズコレクション2013,FC01
[enclose] 付属デッキ,enclose
[dpromo-1800] DPR/1701〜DPR/1800,dpromo-1800
[dpromo-1700] DPR/1601〜DPR/1700,dpromo-1700
[dpromo-1600] DPR/1501〜DPR/1600,dpromo-1600
[dpromo-1500] DPR/1401〜DPR/1500,dpromo-1500
[dpromo-1400] DPR/1301〜DPR/1400,dpromo-1400
[dpromo-1300] DPR/1201〜DPR/1300,dpromo-1300
[dpromo-1200] DPR/1101〜DPR/1200,dpromo-1200
[dpromo-1100] DPR/1001〜DPR/1100,dpromo-1100
[dpromo-1000] DPR/901〜DPR/1000,dpromo-1000
[dpromo-900] DPR/801〜DPR/900,dpromo-900
[dpromo-800] DPR/701〜DPR/800,dpromo-800
[dpromo-700] DPR/601〜DPR/700,dpromo-700
