Display Name,Card Code
[bdsp] スペシャルパック「バンドリ! ガールズバンドパーティ!」,bdsp
[bdpb] プレミアムブースター バンドリ! ガールズバンドパーティ!,bdpb
[bdextmorras] BanG Dream!「Morfonica×RAISE A SUILEN」 Extra,bdextmorras
[bdextppros] BanG Dream!「Poppin’Party×Roselia」Extra,bdextppros
[bd5th] バンドリ！ ガールズバンドパーティ！ 5th Anniversary,bd5th
[bdpb2.0] プレミアムブースター バンドリ！ ガールズバンドパーティ！ Countdown Collection,bdpb2.0
[bd5.0] MyGO!!!!!×Ave Mujica,bd5.0
[bdpb3.0] プレミアムブースター BanG Dream! 10th Anniversary!,bdpb3.0
[bdytd] トライアルデッキ BanG Dream! [夢限大みゅーたいぷ],bdytd
[konosuba] この素晴らしい世界に祝福を！,konosuba
[konosuba2.0] この素晴らしい世界に祝福を！ 2,konosuba2.0
[konosubare] この素晴らしい世界に祝福を！ Re:Edit,konosubare
[konosuba3.0] 映画 この素晴らしい世界に祝福を！紅伝説,konosuba3.0
[kmn] けものフレンズ,kmn
[hinaext1.0] 「ひなろじ ～from Luck ＆ Logic～」Vol.1 Extra,hinaext1.0
[hinaext2.0] 「ひなろじ ～from Luck ＆ Logic～」Vol.2 Extra,hinaext2.0
[saekano] 冴えない彼女の育てかた,saekano
[saekano2.0] 冴えない彼女の育てかた♭,saekano2.0
[saekano3.0] 冴えない彼女の育てかた Fine,saekano3.0
[smp] Summer Pockets,smp
[smp2.0] Summer Pockets REFLECTION BLUE,smp2.0
[smpre] Summer Pockets REFLECTION BLUE Re:Edit,smpre
[smp3.0] TVアニメ『Summer Pockets』,smp3.0
[yys] ゆらぎ荘の幽奈さん,yys
[kadokawas] 角川スニーカー文庫,kadokawas
[kadokawas2.0] 角川スニーカー文庫 Vol.2,kadokawas2.0
[ccs] カードキャプターさくら クリアカード編,ccs
[ccs25th] カードキャプターさくら 25th Anniversary,ccs25th
[sby] 青春ブタ野郎はバニーガール先輩の夢を見ない,sby
[sby2.0] 青春ブタ野郎はゆめみる少女の夢を見ない,sby2.0
[sby3.0] 『青春ブタ野郎』シリーズ,sby3.0
[sby4.0] 青春ブタ野郎はサンタクロースの夢を見ない,sby4.0
[fujimif] 富士見ファンタジア文庫,fujimif
[fujimif2.0] 富士見ファンタジア文庫 Vol.2,fujimif2.0
[key20th] Key 20th Anniversary,key20th
[key2.0] Key all-star,key2.0
[keypb] プレミアムブースター Key 25th Anniversary,keypb
[dal] デート・ア・ライブ,dal
[dalext1.0] デート・ア・バレット Extra,dalext1.0
[dal2.0] デート・ア・ライブ Vol.2,dal2.0
[dal3.0] デート・ア・ライブ Vol.3,dal3.0
[5hy] 五等分の花嫁,5hy
[5hy2.0] 五等分の花嫁∬,5hy2.0
