categoryId,name,modifiedOn,displayName,seoCategoryName,categoryDescription,categoryPageTitle,sealedLabel,nonSealedLabel,conditionGuideUrl,isScannable,popularity,isDirect
34,Life Counters,2026-07-20T13:07:59.28,Life Counters,Life Counters,Playing card games is hard enough without trying to hold a bunch of numbers in your head. Shop thousands of sellers for the best prices on life counters to track your life total and other game mechanics.,TCGplayer - Buy life counters to track your life total and other game mechanics,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,38,False
35,Playmats,2026-07-24T15:26:05.11,Playmats,Playmats,"A quality playmat protects your trading cards, makes them easy to move, and gives you something pretty to look at when you’re losing. Shop thousands of sellers for the best prices on TCG playmats.",Shop TCGplayer for the best prices on TCG playmats,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,419,False
36,Zombie World Order TCG,2023-04-07T16:12:49.893,Zombie World Order TCG,Zombie World Order TCG,"Use magic to summon and revive zombies so you can drown your opponent in a wave of the undead! Shop thousands of sellers for the best prices on Zombie World Order TCG cards, booster boxes, Special Packs, and more.","TCGplayer - Buy Zombie World Order TCG cards, booster boxes, Special Packs, and more",Sealed Products,Singles,https://store.tcgplayer.com/,True,28,False
37,The Caster Chronicles,2025-02-26T19:07:51.96,The Caster Chronicles,The Caster Chronicles TCG,"Your all-girls academy is run by ancient demons: time to play card games! Shop thousands of sellers for the best prices on The Caster Chronicles cards, starter decks, booster boxes, and more.","TCGplayer - Buy The Caster Chronicles cards, starter decks, booster boxes, and more",Sealed Products,Cards,https://store.tcgplayer.com/,True,1271,False
38,My Little Pony CCG,2025-09-29T12:57:34.893,My Little Pony CCG,My Little Pony CCG,"Draw on your Friends, Resources, and other cards to solve Problems and discover the magic of friendship! Shop thousands of sellers for the best prices this side of Canterlot on My Little Pony CCG cards, theme decks, and more.","TCGplayer - Buy My Little Pony CCG cards, theme decks, and more",Sealed Products,Cards,https://store.tcgplayer.com/,False,46,False
39,Warhammer Books,2024-12-02T19:52:27.237,Warhammer Books,Warhammer Books,,,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,11,False
40,Warhammer Big Box Games,2023-03-12T17:13:41.473,Warhammer Big Box Games,Warhammer Big Box Games,,,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,16,False
41,Warhammer Box Sets,2025-02-24T17:22:51.467,Warhammer Box Sets,Warhammer Box Sets,,,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,145,False
42,Warhammer Clampacks,2023-02-24T18:54:18.963,Warhammer Clampacks,Warhammer Clampacks,,,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,4,False
43,Citadel Paints,2022-11-09T21:44:44.333,Citadel Paints,Citadel Paints,,,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,27,False
44,Citadel Tools,2023-02-27T20:34:32.157,Citadel Tools,Citadel Tools,,,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,0,False
45,Warhammer Game Accessories,2025-01-28T15:20:02.2,Warhammer Game Accessories,Warhammer Game Accessories,,,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,1,False
46,Books,2025-04-29T18:09:04.84,Books,Books,"Books: they're like the internet, but with fewer ads and trolls. Shop thousands of sellers for the best prices on books by Osprey Publishing.",TCGplayer - Buy books by Osprey Publishing,Sealed Products,Non-Sealed Products,https://store.tcgplayer.com/,False,1,False
47,Exodus TCG,2022-11-11T15:08:20.927,Exodus TCG,Exodus TCG,"Become a Drifter and explore the world of Eeventide in this innovative game that uses rarity as a game mechanic! Shop thousands of sellers for the best prices on Exodus TCG cards, booster boxes, and more.",TCGplayer - Buy Exodus TCG cards and booster boxes,Sealed Products,Singles,https://store.tcgplayer.com/,True,47,False
48,Lightseekers TCG,2025-01-09T21:30:46.29,Lightseekers TCG,Lightseekers TCG,"Attack, defend, and unleash devastating combos in this epic TCG by PlayFusion! Shop thousands of sellers for the best prices on Lightseekers TCG cards, booster packs, starter decks, and more.","TCGplayer - Buy Lightseekers TCG cards, booster packs, starter decks, and more",Sealed Products,Singles,https://store.tcgplayer.com/,True,308,False
